Title,Parent Category,Overview,Arts,Class Skills,Hero Exclusive Arts,ID,URL
Flash Fencer,Class (Weapon),Flash Fencer is the class of [[Ethel]] and the first [[Hero]] class unlocked. It focuses on pressuring foes with a dual sword style and felling them in short bursts. ,"{'Cross Impact': 'Power Charge on hit (Rank 10 Master Art)', 'Null Slash': 'AOE/Side Crit. Rate+', 'Hidden Thorn': 'Bleed |Bleed (Rank 1 Master Art)', 'Revolution Edge': 'Back Attack Up', 'Acceleration': 'Auto-Atk spd. up/dmg up'}","{'First Move Wins': 'Boosts damage dealt by 30% for the first 30 seconds of battle.', 'Capable Hands': 'Fills Talent Art recharge gauge by 60-100% at start of battle. (Rank 15 Master Skill)', 'Critical Strike': 'Increases critical hit damage bonus by 30-50 percentage points. (Rank 5 Master Skill)', 'Fighting Instinct': 'Boosts damage dealt by 25-50% when using a Talent Art (up to a maximum of 200%).'}","{'Swallowtail': 'Back Attack ↑', 'Silver Cyclone': 'Side Crit. Rate+', 'Million Flash': 'Bleed', 'Vengeance:': 'Evade / Front atk ↑', 'Showdown': 'AOE/High acc./ Eva. Down', 'Executioner': 'AOE / Back attack ↑'}",118554,https://xenoblade.fandom.com/wiki/?curid=118554
Full Metal Jaguar (XC3),Class (Weapon),"Full Metal Jaguars specialize in attacking enemies in a wide area with twin guns. Consecutive hits deal increasing damage, however, a missed attack will reset the bonus so a high accuracy is needed to use the class effectively. It is Gray's class.

It is unlocked by completing the Hero Quest A Gray Matter. The Class Rank maximum can be increased to 20 by completing the Ascension Quest Payback for Treason.","{'Violent Streak': 'AOE/Evade/Pierce', 'Demolition': 'AOE/Pierce(%) (Rank 1 Master Art)', 'Dead Set': 'Removes aggro', 'Quickdraw': 'Evade / Front atk ↑ (Rank 10 Master Art)', 'Fatal Barrage': 'AOE / Back attack ↑', 'Superstorm': 'High acc. / Eva. down'}","{'Bullet Symphony': 'Each attack that hits boosts damage dealt by 10-20% (max. 255%). Missing cancels the boost.', 'Shock Shot': 'Boosts damage against enemies performing Arts by 60-100%. (Rank 15 Master Skill)', 'Sixth Sense': 'Boosts accuracy against enemies performing Arts by 60-100%.', 'Positioning Pro': 'Increases the no. of positional arts that can be set to the Arts Palette by 1. (Rank 5 Master Skill)'}",N/A,117432,https://xenoblade.fandom.com/wiki/?curid=117432
Grand Marshal,Class (Weapon),"Grand Marshal is [[Shulk]]'s class. As a Grand Marshal, Shulk wields his [[Monado Replica EX+|Monado REX+]] from {{XCFC}} as his [[Blade (XC3)|Blade]].

After completing the [[Challenge Battle Mode|Challenge Battle]] ''[[The Two Saviors]]'', Shulk can use the class in the main game as a [[Hero]], but the class cannot be used by anyone else.","{'Monado Buster': 'AOE/Awakening |Awakened+/Pierce', 'Stream Edge': 'Break |Break', 'Heavy Rush': 'Awakened Boost', 'Slit Edge': 'AOE/Bleed |Bleed', 'Monado Rage': 'Target Lock', 'Monado Armor': 'Field/Armor Veil', 'Monado Purge': 'AOE/Aggroed+'}","{'Right Back At You': 'When nearby ally is attacked, deal 100-200% of attack in damage to enemy.', 'Natural Born Warrior': 'Grants a small-large increase to damage dealt the more enemies target you (up to a maximum of 300%).', 'Sword of Reprisal': 'Deals 150-300% of Attack damage when you evade an attack.', 'Mechanical Rhythm': '5-15% chance for own attack to become a guaranteed hit and to evade enemy attacks during it.', ""Gentleman's Valor"": 'Grants Awakening when damage taken exceeds 40-20% of max HP. When using Shulk as a Hero in {{XC3|-}}, this skill replaces Sword of Reprisal. {{clr}}'}",N/A,126342,https://xenoblade.fandom.com/wiki/?curid=126342
Guardian Commander,Class (Weapon)," 
Guardian Commanders specialize in protecting their allies. They fight with the [[Blade (XC3)|Gutsy Gladius]], a sword and shield. Their abilities are enhanced by adversity, making them reliable companions to stand up to strongest [[Enemy (XC3)|enemies]]. Guardian Commander is the Class of [[Zeon]]. 

It is unlocked after the [[Hero Quest]] ''[[Where The Heart Is]]'', and is upgraded with ''[[Reasons to Evolve]]''.","{'Deflector Field': 'Absorb damage/Awakening |Awaken', 'Imperial Sword |Imperial Sword': 'Awakened Boost', 'Shield Bash |Shield Bash': 'Topple |Topple (Rank 10 Master Art)', 'Falcon Swoop': 'AOE / Awakened Boost', 'Noble Taunt': 'Taunt (Rank 1 Master Art)', 'Grand Protection': 'Block Rate+/Atk Down'}","{'Mind for Guarding': 'Increase damage reduction rate when blocking by 10-20 percentage points. (Rank 15 Master Skill)', ""I'll Help"": 'Take attacks for nearby allies with low HP. Damage taken is reduced by 15-20%.', ""Soldier's Potential"": 'When HP is at 30% or lower, restore 0.6-1.4% HP each second.', ""Protector's Pride"": 'Boost recharge speed by 30-50% when non-Defenders are targeted. (Rank 5 Master Skill)'}","{'Proud Edge': 'AOE / Awakened Boost', 'Celestial Strike': 'Knockback/Awakened+', 'Victory Shift': 'Block Rate+/Atk Down'}",117341,https://xenoblade.fandom.com/wiki/?curid=117341
Heavy Guard,Class (Weapon)," 
Heavy Guards specializes in [[Battle Arts (XC3)|arts]] that attract [[Enemy (XC3)|enemies]] while protecting allies with a huge shield-like weapon. With many means of attracting enemies, it is a powerful shield for the party. The [[Battle Arts (XC3)|Talent Art]] of the Heavy Guard is [[Mad Taunt (XC3)|Mad Taunt]]. It is the initial class of [[Lanz]].
{{clr}}","{'Mad Taunt': 'AOE / Taunt', 'Bull Rush': 'Topple |Topple', 'Variable Turret': 'Block attacks', 'Crash Out': 'AOE / High aggro (Rank 1 Master Art)', 'Uppercut Slash': 'High aggro', 'Solid Stance': 'Def. up / Atk down (Rank 10 Master Art)'}","{'Defensive Soul': 'Boosts Physical Defense by 10-20%. (Rank 5 Master Skill)', ""I'll Protect You"": 'Reduces damage taken by allies in a fixed radius by 20-30%.', 'Tenacious Blocker': 'Boosts Block Rate by 30-50% when HP is at 30% or lower. (Rank 15 Master Skill)', 'Aggravator': 'Accrues Aggro every second.'}",N/A,117283,https://xenoblade.fandom.com/wiki/?curid=117283
Incursor,Class (Weapon)," 
Incursors have a higher critical hit rate to deal more damage, and with each critical hit their attack power rises higher. It is the class of [[Alexandria]].

It is unlocked by completing the [[Hero Quest]] ''[[Her Reasons]]''. The [[Class Rank (XC3)|Class Rank]] maximum can be increased to 20 by completing the Ascension Quest ''[[Inescapable Past]]''.","{'Supreme Sword': 'Launch |Launched↑ * Reversal Edge, Crit.+ during enemy Art * Glitter Stream, Side Break |Break (Rank 10 Master Art) * Sidewinder |Sidewinder, AOE/Back Crit. Rate+ * Aerial Slash |Aerial Slash, High Crit. Rate/Evade (Rank 1 Master Art) * Mystic Vision, Crit. Rate & dmg+'}","{'Adroit Blade': 'Boosts damage dealt by 4-8% when landing a critical hit (up to a maximum of 150%).', 'Eye for Weak Points': 'Each successful attack boosts Critical Rate by 1-2% of inital value (up to a maximum of 100%). (Rank 15 Master Skill)', 'Floating Kill': 'Boosts Critical Rate by 60-100% when attacking a launched enemy.', 'Vigilance': 'Boosts Critial Rate of auto-attacks by 50-150%. (Rank 5 Master Skill)'}","{'Etched Deep': 'Side [[Break (XC3)|Break]]', 'Luminous Illusion': 'High Crit. Rate/Evade', 'Mirage Divide': 'AOE / Mid-Art enemy↑'}",117415,https://xenoblade.fandom.com/wiki/?curid=117415
Lifesage,Class (Weapon)," 
Lifesage is the class of [[Nia]]. The [[Blade (XC3)|Blade]] of the Lifesage class is the Anima Sword, which is Nia's [[Weapons (XC2)|Catalyst Scimitar]] from {{XC2}}, along with watery versions of [[Pyra]] and [[Mythra]]'s [[Aegis|Aegis Swords]] floating by the user.

It is unlocked by going to the [[Hall of the Serene]] in the [[Cloudkeep]] after completing the main story, or in [[New Game + (XC3)|New Game +]]. Completing the [[Hero Quest|Ascension Quest]] ''[[Grasping My Future]]'' will increase this class's [[Class Rank (XC3)|rank]] limit from 10 to 20.","{'Divine Sword': 'Ignores enemy defense. Also heals all allies to a maximum of 150% of Healing Power.', 'Saber Slash': 'Heals nearby allies when Art hits, to max of 100% of Healing Power.', 'Redemption': 'Heals allies around the user.', 'Waterlily': 'Places a Regenerate |Regeneration field on the ground.', 'Hydro Blast': '30-50% chance to ignore defense and inflicts Blowdown. (Rank 1 Master Art)', 'Aqua Mind': ""Continuously heals nearby allies' HP, boosts recharge speed by 25%. (Rank 10 Master Art)""}","{'Steadfast Feelings': ""Restores nearby allies' HP on Art execution. Amount healed is equal to 30-50% of user's Healing."", 'Instant Regen+': '25% chance to heal using 60-100% of Healing Power upon taking damage.', 'Enhanced Cellular Stimulus': '30-50% chance on hit to deal 100%-200% of Healing Power as defense-bypassing damage. (Rank 5 Master Skill)', 'Abundant Oceans': 'Reduces damage to allies by 10-15%, and boosts HP recovery by 10-15% (does not stack). (Rank 15 Master Skill)'}","{'Last Hope': '40-50% chance to ignore defense and inflicts Blowdown.', 'Merciful Heart': 'An Ether attack that causes Knockback to enemies in front of Nia.', 'Redeeming Bloom': 'Places a Regeneration field on the ground.'}",118552,https://xenoblade.fandom.com/wiki/?curid=118552
Lone Exile,Class (Weapon)," 
Lone Exiles are aggressive Defenders whose swift, deadly slash strikes draw foes in only to mow them down, and function similarly to [[Dunban]] in that they generate aggro primarily by inflicting large amounts of burst damage. While they gain further attack boosts at low health, they lack any inherent means of enhancing their survivability, which can be an issue in prolonged battles. It is the class of [[Ashera]].

It is unlocked by completing the [[Hero Quest]] ''[[The Wrath of Ashera]]''. The [[Class Rank (XC3)|Class Rank]] maximum is increased to 20 after completing the Ascension Quest ''[[A Deep-Seated Scar]]''.","{'Blossom Dance': 'High aggro/Pierce', 'Demon Slayer |Demon Slayer': 'High aggro', 'Eye of the Storm': 'Block / Spike' * Gale Slash |Gale Slash, AOE / Aggroed↑ (Rank 1 Master Art) * Soaring Tempest |Soaring Tempest, Launch |Launch (Rank 10 Master Art) * Jaws of Death |Jaws of Death, Atk up / Faster aggro'}","{'Goading Attack': 'Boosts aggro generated from dealing damage by 30-60%.', 'Natural Selection': 'Reduces damage taken by 20-30% when HP is at 30% or lower. (Rank 5 Master Skill)', 'Maniac': 'Boosts damage dealt when attacking higher-level enemies by 30-50%. (Rank 15 Master Skill)', 'Returning the Favor': 'When nearby ally is attacked, deal 100-250% of attack in damage to enemy.'}","{'Inferno Wheel': 'Aggroed↑', 'Ascension Blade': '[[Launch (XC3)|Launch]]', 'Wind Sickle': 'Dmg up at low HP'}",117424,https://xenoblade.fandom.com/wiki/?curid=117424
Lost Vanguard,Class (Weapon),",== Overview ==
Lost Vanguard is the class of [[Monica Vandham|Monica]]. The class focuses on guarding allies with their shield and their arts, while crushing enemies with their [[Blade (XC3)|Defense Mace]]. 

It is unlocked by completing the [[Hero Quest]] ''[[Vandham's Heir]]''. The [[Class Rank (XC3)|Class Rank]] maximum can be increased to 20 by completing the Ascension Quest ''[[Promise to the Future]]''.","{'Thunder Steel': 'AOE/Bind |Bind/Machines↑ * Shockwave, Knockback mid-Art enemy * Taunt Pulse, Cont. dmg/Fast aggro * Mighty Beat |Mighty Beat, AOE/High Aggro/Smash |Smash (Rank 10 Master Art) * Shield Wall |Shield Wall, Block/Heal/Ether anchor (Rank 1 Master Art) * Electro Field, Field / Armor Veil'}","{'Stay Right There': 'When taking damage, 10-20% chance to inflict Knockback on assailant.', ""Come an' Get Me!"": 'When blocking, deals 100-200% of Attack damage to enemy, drawing aggro. (Rank 15 Master Skill)', ""Now That's Tactics!"": 'At start of Chain Attack, increase TP by 5-10. (Rank 5 Master Skill)', 'Never Again!': 'Grants 10-20% chance to absorb attack dealt to allies within range.'}","{'Geo Breaker': 'AOE/High Aggro/[[Smash (XC3)|Smash]]', 'Bolt Flinger': 'Field / Armor Veil', 'Lightning Strike': 'High aggro / [[Blowdown (XC3)|Blowdown]]'}",118546,https://xenoblade.fandom.com/wiki/?curid=118546
Machine Assassin,Class (Weapon)," 
Machine Assassin is the class of [[Segiri]]. Machine Assassins use [[Blade (XC3)|Blades]] known as Doom Axes. It specializes in inflicting many debuffs to weaken the enemy, before going in for the kill.

It can be unlocked by completing the [[Hero Quest]] ''[[Inhumanity]]''. The [[Class Rank (XC3)|Class Rank]] maximum is increased to 20 by completing the Ascension Quest ''[[Invisible Bond]]''.","{'Viral Vector': 'AOE/2 random debuffs * Tyrant Cross, 1 random debuff (Rank 1 Master Art) * Fatal Bite, Side attack ↑ (Rank 10 Master Art) * Terror Onslaught, Back resistance down * Havoc Slayer, AOE / Spread debuffs * Mega Crescent, Extend debuff time'}","{'Cursed Edge': 'Boosts damage dealt by 50-70% when attacking a debuffed enemy. (Rank 5 Master Skill)', 'Chaos Chain': 'Debuffing an enemy boosts damage dealt by 20-30% (up to a maximum of 150%).', 'Anti-Erosion System': 'Grants 30-50% resistance to all debuffs. (Rank 15 Master Skill)', 'Phantom Strike': 'Adds 60-100% chance for attack to be unblockable.'}","{'Fury Reaper': 'AOE / Spread debuffs', 'Seventh Edge': 'Back resistance down', 'Hundred Shells': 'Extend debuff time'}",118551,https://xenoblade.fandom.com/wiki/?curid=118551
